171,,Lifan,KPR,150 2017 Edition,,,,,,,,,,,,,,,,,,,,
172,,Lifan,KPR,165R,,,,,,,,,,,,,,,,,,,,
173,,Lifan,KP150,V2,,,,,,,,,,,,,,,,,,,,
174,,Lifan,KP150,,,,,,,,,,,,,,,,,,,,,
175,,Lifan,KP,Mini,,,,,,,,,,,,,,,,,,,,
176,,Lifan,KPT,150,,,,,,,,,,,,,,,,,,,,
177,,Lifan,KPS,150,,,,,,,,,,,,,,,,,,,,
178,,Lifan,Pony,100,,,,,,,,,,,,,,,,,,,,
179,,Lifan,Glint,100,,,,,,,,,,,,,,,,,,,,
180,,Victor R,Classic,100,,,,,,,,,,,,,,,,,,,,
181,,Victor R,V80,Xpress,,,,,,,,,,,,,,,,,,,,
182,,Victor R,V100,Link,,,,,,,,,,,,,,,,,,,,
183,,Victor R,V110,Advance,,,,,,,,,,,,,,,,,,,,
184,,Motocross,Fighter,71,,,,,,,,,,,,,,,,,,,,
185,,Motocross,Fighter,150,,,,,,,,,,,,,,,,,,,,
186,,Kawasaki,KLX 150,BF,,,,,,,,,"3,90,000",,,,,,,Asian Motorbikes Ltd.,,,,
187,,Kawasaki,KLX 150,L,,,,,,,,,,,,,,,,Asian Motorbikes Ltd.,,,,
188,,Kawasaki,KSR,PRO,,,,,,,,,"3,20,000",,,,,,,Asian Motorbikes Ltd.,,,,
189,,Kawasaki,D-Tracker,150,,,,,,,,,"3,90,000",,,,,,,Asian Motorbikes Ltd.,,,,
190,,Kawasaki,Z125,Pro,,,,,,,,,"3,40,000",,,,,,,Asian Motorbikes Ltd.,,,,
191,,Aprilia,RS4,125,,,,,,,,,,,,,,,,,,,,
192,,Aprilia,SR,150,,,,,,,,,,,,,,,,,,,,
193,,Aprilia,SR,150 Race,,,,,,,,,,,,,,,,,,,,
194,,Aprilia,SR,125 Motard,,,,,,,,,,,,,,,,,,,,
195,,Aprilia,RS,150,,,,,,,,,,,,,,,,,,,,
196,,Aprilia,Tuono,150,,,,,,,,,,,,,,,,,,,,
197,,Aprilia,Tuono,125,,,,,,,,,,,,,,,,,,,,
198,,KTM,Duke,125 2017 Edition,,,,,,,,,,,,,,,,,,,,
199,,KTM,RC,125,,,,,,,,,,,,,,,,,,,,
200,,GPX,Legend,150S,,,,,,,,,,,,,,,,,,,,
201,,Roadmaster,Rapido,,,,,,,,,,,,,,,,,,,,,
202,,Roadmaster,Prime,100,,,,,,,,,,,,,,,,,,,,
203,,Roadmaster,Prime,,,,,,,,,,,,,,,,,,,,,
204,,Roadmaster,Velocity,,,,,,,,,,,,,,,,,,,,,
205,,Roadmaster,Delight,,,,,,,,,,,,,,,,,,,,,
206,,Roadmaster,Rex,,,,,,,,,,,,,,,,,,,,,
207,,Dayun,Defender,150cc,,,,,,,,,,,,,,,,,,,,
208,,Dayun,Panzer,,,,,,,,,,,,,,,,,,,,,
209,,Dayun,Roebuck,125cc,,,,,,,,,,,,,,,,,,,,
210,,Dayun,Deviser,125cc,,,,,,,,,,,,,,,,,,,,
211,,Dayun,Plight,110cc,,,,,,,,,,,,,,,,,,,,
212,,Dayun,Sprout,100cc,,,,,,,,,,,,,,,,,,,,
213,,Mahindra,Centuro,Rockstar,,,,,,,,,,,,,,,,,,,,
214,,Mahindra,Centuro,,,,,,,,,,,,,,,,,,,,,
215,,Mahindra,Puntero,,,,,,,,,,,,,,,,,,,,,
216,,Mahindra,Arro,,,,,,,,,,,,,,,,,,,,,
217,Scooter,Mahindra,Duro,DZ 125,,,,,,,,,,,,,,,,,,,,
218,Scooter,Mahindra,Rodeo,RZ 125,,,,,,,,,,,,,,,,,,,,
219,Scooter,Mahindra,Gusto,,,,,,,,,,,,,,,,,,,,,
220,,KIDEN,150-H,,,,,,,,,,,,,,,,,,,,,
221,,KIDEN,150-G,,,,,,,,,,,,,,,,,,,,,
222,,KIDEN,125-J,,,,,,,,,,,,,,,,,,,,,
223,,KIDEN,150-F,,,,,,,,,,,,,,,,,,,,,
224,,KIDEN,KD,150-K,,,,,,,,,,,,,,,,,,,,
225,,Beetle Bolt,Corbet,,,,,,,,,,,,,,,,,,,,,
226,,Beetle Bolt,Alligator,,,,,,,,,,,,,,,,,,,,,
227,,Beetle Bolt,Alligator,V2,,,,,,,,,,,,,,,,,,,,
228,,Beetle Bolt,Stinger,,,,,,,,,,,,,,,,,,,,,
229,,Beetle Bolt,Viper,GT,,,,,,,,,,,,,,,,,,,,
230,,Haojue,Cool,150,,,,,,,,,,,,,,,,,,,,
231,,Haojue,TZ,,,,,,,,,,,,,,,,,,,,,
232,,Haojue,TR,,,,,,,,,,,,,,,,,,,,,
233,,Haojue,KA,,,,,,,,,,,,,,,,,,,,,
234,,Haojue,Lindy,,,,,,,,,,,,,,,,,,,,,
235,,Znen,DBR,,,,,,,,,,,,,,,,,,,,,
236,,Znen,Vento,,,,,,,,,,,,,,,,,,,,,
237,,Znen,Rex,,,,,,,,,,,,,,,,,,,,,
238,Scooter,Znen,Jog,,,,,,,,,,,,,,,,,,,,,
239,Scooter,Znen,RX150,,,,,,,,,,,,,,,,,,,,,
240,Scooter,Znen,Aurora,125,,,,,,,,,,,,,,,,,,,,
241,Scooter,Znen,Vista,,,,,,,,,,,,,,,,,,,,,
242,Scooter,Znen,T9,,,,,,,,,,,,,,,,,,,,,
243,Scooter,Znen,Roar,,,,,,,,,,,,,,,,,,,,,
244,Scooter,Znen,A9,,,,,,,,,,,,,,,,,,,,,
245,Scooter,Znen,R8,,,,,,,,,,,,,,,,,,,,,
246,Scooter,Znen,Goldfish,,,,,,,,,,,,,,,,,,,,,
247,Scooter,Znen,T6,,,,,,,,,,,,,,,,,,,,,
248,Scooter,Znen,Classic 50,,,,,,,,,,,,,,,,,,,,,
249,Scooter,Znen,Zoom,,,,,,,,,,,,,,,,,,,,,
250,Scooter,Znen,King,,,,,,,,,,,,,,,,,,,,,
251,Scooter,Znen,Emperor II,125cc,,,,,,,,,,,,,,,,,,,,
252,Scooter,Znen,Skylerk,125cc,,,,,,,,,,,,,,,,,,,,
253,Scooter,Znen,Falcon 8,125cc,,,,,,,,,,,,,,,,,,,,
254,,Derbi,GPR125,,,,,,,,,,,,,,,,,,,,,
255,,Megelli,150R,,,,,,,,,,,,,,,,,,,,,
256,,Race,Hyosung,GTR 125,,,,,,,,,,,,,,,,,,,,
257,,Race,Hyosung,GT 125,,,,,,,,,,,,,,,,,,,,
258,,Race,GSR125,,,,,,,,,,,,,,,,,,,,,
259,,Race,Hyosung,RT 125,,,,,,,,,,,,,,,,,,,,
260,,Race,Hyosung,Aquila,,,,,,,,,,,,,,,,,,,,
261,,Race,SR,125,,,,,,,,,,,,,,,,,,,,
262,,Race,City,100,,,,,,,,,,,,,,,,,,,,
263,,Race,Fiero,150FR,,,,,,,,,,,,,,,,,,,,
